from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Spallumcheen,15,146705.2,40h 45m,,,,,,40h 45m,37h 56m,35h 01m,31h 55m,28h 35m,24h 38m,20h 31m,17h 27m,14h 44m,13h 01m,11h 09m,8h 47m,5h 24m
York University Heights,15,114273.4,31h 45m,,,,,,31h 45m,28h 52m,26h 24m,23h 55m,22h 00m,20h 11m,18h 48m,17h 11m,15h 42m,13h 52m,11h 38m,9h 29m,6h 05m
Parkwoods-Donalda,15,114387.7,31h 46m,,,,,,31h 46m,28h 53m,26h 24m,23h 54m,21h 58m,20h 07m,18h 42m,17h 05m,15h 38m,13h 45m,11h 32m,9h 25m,6h 05m
South Parkdale,15,116098.7,32h 15m,,,,,,32h 15m,29h 23m,26h 57m,24h 29m,22h 36m,20h 49m,19h 29m,17h 56m,16h 33m,14h 50m,12h 46m,10h 53m,7h 56m
South Riverdale,15,116384.0,32h 20m,,,,,,32h 20m,29h 28m,27h 01m,24h 33m,22h 39m,20h 51m,19h 29m,17h 57m,16h 35m,14h 50m,12h 48m,10h 56m,8h 02m
North St.James Town,15,114848.4,31h 54m,,,,,,31h 54m,29h 01m,26h 32m,24h 02m,22h 06m,20h 16m,18h 51m,17h 14m,15h 46m,13h 54m,11h 41m,9h 32m,6h 11m
Waterfront Communities-The Island,15,116197.5,32h 17m,,,,,,32h 17m,29h 25m,26h 58m,24h 30m,22h 36m,20h 49m,19h 28m,17h 55m,16h 33m,14h 48m,12h 46m,10h 54m,7h 59m
West Humber-Clairville,15,114523.8,31h 49m,,,,,,31h 49m,28h 56m,26h 28m,23h 59m,22h 04m,20h 15m,18h 52m,17h 14m,15h 45m,13h 55m,11h 41m,9h 32m,6h 08m
Banbury-Don Mills,15,114515.9,31h 49m,,,,,,31h 49m,28h 55m,26h 26m,23h 56m,22h 00m,20h 09m,18h 44m,17h 08m,15h 40m,13h 47m,11h 35m,9h 27m,6h 07m
Birchcliffe-Cliffside,15,116091.2,32h 15m,,,,,,32h 15m,29h 23m,26h 55m,24h 27m,22h 32m,20h 44m,19h 22m,17h 50m,16h 28m,14h 42m,12h 39m,10h 48m,7h 54m
Islington-City Centre West,15,114733.1,31h 52m,,,,,,31h 52m,28h 59m,26h 31m,24h 02m,22h 07m,20h 18m,18h 54m,17h 17m,15h 48m,13h 58m,11h 44m,9h 34m,6h 10m
Centennial Scarborough,15,114453.0,31h 48m,,,,,,31h 48m,28h 53m,26h 23m,23h 52m,21h 54m,20h 02m,18h 35m,16h 59m,15h 32m,13h 36m,11h 24m,9h 17m,5h 58m
Mount Pleasant West,15,114646.1,31h 51m,,,,,,31h 51m,28h 58m,26h 29m,24h 00m,22h 04m,20h 14m,18h 49m,17h 12m,15h 44m,13h 53m,11h 39m,9h 31m,6h 09m
Humewood-Cedarvale,15,114486.1,31h 48m,,,,,,31h 48m,28h 55m,26h 27m,23h 57m,22h 02m,20h 12m,18h 48m,17h 11m,15h 42m,13h 51m,11h 38m,9h 29m,6h 07m
Beechborough-Greenbrook,15,114312.6,31h 45m,,,,,,31h 45m,28h 52m,26h 24m,23h 55m,22h 00m,20h 11m,18h 48m,17h 10m,15h 42m,13h 52m,11h 38m,9h 29m,6h 05m
Blake-Jones,15,114956.7,31h 56m,,,,,,31h 56m,29h 02m,26h 33m,24h 03m,22h 07m,20h 16m,18h 51m,17h 14m,15h 46m,13h 54m,11h 41m,9h 33m,6h 12m
Forest Hill North,15,114443.1,31h 47m,,,,,,31h 47m,28h 54m,26h 26m,23h 57m,22h 01m,20h 11m,18h 47m,17h 10m,15h 42m,13h 51m,11h 37m,9h 29m,6h 07m
Corso Italia-Davenport,15,114509.5,31h 48m,,,,,,31h 48m,28h 56m,26h 27m,23h 58m,22h 03m,20h 13m,18h 50m,17h 12m,15h 44m,13h 53m,11h 39m,9h 30m,6h 08m
