from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Smooth Rock Falls,20,103321.1,28h 42m,28h 42m,26h 55m,25h 29m,24h 08m,22h 43m,21h 34m,20h 23m,19h 13m,18h 10m,17h 02m,15h 43m,14h 13m,12h 40m,10h 46m,8h 42m,6h 31m,3h 51m,2h 31m
Snow Lake,20,115707.7,32h 08m,32h 08m,30h 21m,28h 49m,27h 09m,25h 26m,23h 33m,21h 50m,20h 11m,19h 01m,17h 43m,16h 16m,14h 34m,12h 31m,10h 26m,8h 43m,6h 24m,4h 49m,2h 48m
Sointula,20,165881.0,46h 05m,46h 05m,43h 38m,41h 22m,38h 54m,36h 17m,33h 21m,30h 27m,28h 08m,25h 35m,22h 42m,20h 21m,18h 28m,16h 54m,14h 52m,12h 19m,10h 03m,7h 05m,3h 56m
Sooke,20,154161.1,42h 49m,42h 49m,40h 25m,38h 12m,35h 46m,33h 12m,30h 20m,27h 31m,25h 17m,22h 50m,20h 03m,17h 50m,16h 08m,14h 34m,12h 46m,10h 32m,8h 43m,6h 25m,4h 23m
Sorel-Tracy,20,114479.5,31h 48m,31h 48m,29h 26m,27h 22m,25h 19m,23h 06m,21h 03m,19h 01m,16h 57m,14h 39m,12h 37m,10h 46m,9h 13m,8h 07m,7h 01m,5h 59m,4h 40m,3h 35m,2h 42m
Souris,20,140485.5,39h 01m,39h 01m,36h 16m,33h 46m,31h 13m,28h 28m,25h 47m,23h 02m,20h 09m,16h 54m,13h 43m,10h 31m,9h 16m,7h 50m,6h 14m,4h 28m,2h 46m,2h 11m,1h 34m
Souris,20,102458.1,28h 28m,28h 28m,26h 46m,25h 20m,23h 47m,22h 12m,20h 27m,18h 54m,17h 12m,16h 03m,14h 53m,13h 41m,12h 14m,10h 33m,8h 30m,6h 52m,5h 28m,3h 56m,2h 16m
South Cambie,20,144268.6,40h 04m,40h 04m,37h 41m,35h 29m,33h 04m,30h 32m,27h 41m,24h 53m,22h 40m,20h 15m,17h 31m,15h 21m,13h 42m,12h 13m,10h 31m,8h 25m,6h 46m,4h 44m,3h 09m
Southey,20,104752.6,29h 06m,29h 06m,27h 13m,25h 35m,23h 48m,21h 58m,19h 55m,18h 03m,16h 35m,15h 13m,13h 47m,12h 11m,10h 32m,8h 55m,7h 12m,5h 59m,5h 05m,3h 59m,2h 53m
South Huron,20,122078.9,33h 55m,33h 55m,31h 47m,29h 59m,28h 13m,26h 21m,24h 40m,23h 04m,21h 30m,19h 47m,18h 26m,16h 50m,15h 30m,13h 59m,12h 20m,10h 34m,8h 14m,6h 18m,4h 08m
